Gene_A,Gene_B
MAX,MXI1
HLF,MYB
MAF,MYB
LIN54,MYBL1
BCL11A,MYBL2
BCL11B,MYBL2
BPTF,MYBL2
E2F3,MYBL2
FOXM1,MYBL2
GATAD2A,MYBL2
GATAD2B,MYBL2
LIN54,MYBL2
MBD2,MYBL2
MBD3,MYBL2
MTF2,MYBL2
ADNP,MYC
AKAP8,MYC
AKAP8L,MYC
ARNT,MYC
CEBPZ,MYC
CHCHD3,MYC
DACH1,MYC
DR1,MYC
ESR1,MYC
FOXR1,MYC
FOXR2,MYC
GLIS1,MYC
GLIS2,MYC
GTF2B,MYC
GTF2I,MYC
HBP1,MYC
HIF1A,MYC
JUN,MYC
MAX,MYC
MAX,MYCL
FOXR1,MYCN
MAX,MYCN
MYC,MYCN
FIGLA,MYF5
MSGN1,MYF5
FIGLA,MYOD1
MEF2C,MYOD1
FIGLA,MYOG
MBD3,MYOG
AKAP8L,MYPOP
HOXA1,MYPOP
AHR,NCOA1
AR,NCOA1
ARNT,NCOA1
ESR1,NCOA1
ESR2,NCOA1
ESRRA,NCOA1
ESRRG,NCOA1
FOS,NCOA1
HNF4A,NCOA1
HNF4G,NCOA1
JUN,NCOA1
AHR,NCOA2
AR,NCOA2
ARNT,NCOA2
ESR1,NCOA2
ESR2,NCOA2
FOXJ2,NCOA2
HNF4A,NCOA2
NCOA1,NCOA2
AR,NCOA3
ARNT2,NCOA3
E2F1,NCOA3
ESR1,NCOA3
ESR2,NCOA3
ESRRA,NCOA3
MYC,NCOA3
NCOA1,NCOA3
NCOA2,NCOA3
DPF3,NEUROD1
KLF11,NEUROD1
ADNP,NFATC1
ATF1,NFATC1
ATF2,NFATC1
ATF3,NFATC1
CREB1,NFATC1
CUX1,NFATC1
FLYWCH1,NFATC1
FOS,NFATC1
FOXP3,NFATC1
GATAD2B,NFATC1
HMGA1,NFATC1
HMGA2,NFATC1
HOXA10,NFATC1
HOXC13,NFATC1
HOXD13,NFATC1
ISL1,NFATC1
JUN,NFATC1
JUND,NFATC1
CREB1,NFATC2
EGR1,NFATC2
ESR1,NFATC2
FOS,NFATC2
FOXP2,NFATC2
FOXP3,NFATC2
IRF4,NFATC2
JUN,NFATC2
JUN,NFATC3
CEBPA,NFATC4
JUN,NFATC4
ATF4,NFE2L1
CREBZF,NFE2L1
MAFF,NFE2L1
MAFG,NFE2L1
ATF4,NFE2L2
JUN,NFE2L2
MAFF,NFE2L2
MAFG,NFE2L2
MYC,NFE2L2
