Gene_A,Gene_B
ABI2,CCHCR1
ABI2,CENPH
ABI2,CEP44
ABI2,CEP57
ABI2,CFAP94
ABI2,CLPP
ABI2,COG3
ABI2,CUEDC1
ABI2,CYFIP1
ABI2,DCTN2
ABI2,DISC1
ABI2,DLGAP2
ABI2,DNAI7
ABI2,EGR4
ABI2,EIF3H
ABI2,EPS8L1
ABI2,FAM161B
ABI2,FAM166B
ABI2,FAM90A1
ABI2,FAM9C
ABI2,FOXD4L1
ABI2,GAS2L2
ABI2,GCC1
ABI2,GGN
ABI2,GPANK1
ABI2,HGS
ABI2,HHEX
ABI2,HNRNPK
ABI2,HSF2BP
ABI2,IHO1
ABI2,INCA1
ABI2,INSYN1
ABI2,JPH3
ABI2,KIFC3
ABI2,KRT13
ABI2,KRT14
ABI2,KRT15
ABI2,KRT19
ABI2,KRT20
ABI2,KRT24
ABI2,KRT27
ABI2,KRT75
ABI2,LGALS9B
ABI2,LHX8
ABI2,LMO1
ABI2,LMO4
ABI2,LURAP1
ABI2,MAGEA1
ABI2,MCM7
ABI2,MED11
ABI2,MRFAP1
ABI2,MRFAP1L1
ABI2,MYO15B
ABI2,MYOZ3
ABI2,NCK1
ABI2,NCKIPSD
ABI2,NFASC
ABI2,NHSL2
ABI2,NUP62
ABI2,OOEP
ABI2,PAK2
ABI2,PCDH10
ABI2,PCMT1
ABI2,PDLIM7
ABI2,PHETA1
ABI2,PLEKHN1
ABI2,PPP3CA
ABI2,PRDM14
ABI2,PRKAA2
ABI2,PRR16
ABI2,PRR20A
ABI2,PRR20B
ABI2,PRR20C
ABI2,PRR20D
ABI2,PRR20E
ABI2,PWWP2B
ABI2,Q59FK4
ABI2,RABGEF1
ABI2,RNPS1
ABI2,RPP25
ABI2,RUSC1
ABI2,SHANK3
ABI2,SLA
ABI2,SNAP91
ABI2,SNAPIN
ABI2,SNX18
ABI2,SNX7
ABI2,STX19
ABI2,TCF4
ABI2,TPM2
ABI2,TRAF3IP1
ABI2,TRIM72
ABI2,TRIML2
ABI2,UBC
ABI2,UBQLN2
ABI2,UBXN11
ABI2,VPS28
ABI2,WASF2
ABI2,WASHC1
ABI2,WIPF1
ABI2,WWOX
ABI2,ZFP90
ABI2,ZNF474
ABI2,ZNF511
ABI2,ZNF688
ABI3,ABI2
ABI3,ACTN3
ABI3,ARHGAP9
ABI3,ARMC7
ABI3,B2R8Y4
ABI3,BAIAP2L2
ABI3,BFSP2
ABI3,BLOC1S5
ABI3,CEP170
ABI3,CEP170P1
ABI3,CEP44
ABI3,DTNB
ABI3,EIF3H
ABI3,EIF3M
ABI3,EMILIN1
ABI3,EVL
ABI3,FAM124B
ABI3,FARSA
ABI3,FBF1
ABI3,GNG13
ABI3,GOLM1
ABI3,GRB2
ABI3,HOMER1
ABI3,IFT20
ABI3,IHO1
ABI3,KANK2
ABI3,KIAA0408
ABI3,KIFC3
ABI3,KLC4
ABI3,KRT13
ABI3,KRT14
ABI3,KRT15
ABI3,KRT24
ABI3,KRT28
ABI3,KRT35
ABI3,KRT36
ABI3,KRT38
ABI3,MAGEA12
ABI3,MIS18A
ABI3,MRFAP1
ABI3,MRFAP1L1
ABI3,NDEL1
ABI3,NHSL2
ABI3,NUP58
ABI3,PSMA1
ABI3,Q53HG0
ABI3,SH3BP1
ABI3,STX2
ABI3,VARS2
ABI3,VASP
ABI3,WASF1
ABI3,WASHC1
ABITRAM,C4ORF19
ABITRAM,HMBOX1
ABITRAM,PUS10
ABL1,ABI1
ABL1,ABI2
ABL1,ABL2
ABL1,ABR
ABL1,AHSG
ABL1,AIRE
ABL1,AKAP6
ABL1,AP2A1
ABL1,AP2M1
ABL1,APOL5
ABL1,AR
ABL1,ARHGEF11
ABL1,ASAP1
ABL1,ASB16
ABL1,ATM
ABL1,BAZ2A
ABL1,BCR
ABL1,BMP2K
ABL1,BMP8B
ABL1,BRCA2
ABL1,BRPF3
ABL1,C6
ABL1,CAST
ABL1,CBL
ABL1,CBLB
ABL1,CCKBR
ABL1,CD2AP
ABL1,CELSR3
ABL1,CENPA
ABL1,CKAP4
ABL1,CKAP5
ABL1,CNTFR
ABL1,CNTNAP1
ABL1,CRK
ABL1,CSMD2
ABL1,CTNNB1
ABL1,CUL7
ABL1,CYP4F2
ABL1,DDX41
ABL1,DDX5
ABL1,DKKL1
ABL1,DLGAP1
ABL1,DLGAP2
ABL1,DLGAP3
ABL1,DLGAP4
ABL1,DLX4
ABL1,DNASE1L2
ABL1,DNM1
ABL1,DNM3
ABL1,DOCK3
ABL1,DOK1
ABL1,DRG1
ABL1,DUSP15
ABL1,EEF1G
ABL1,EFNA5
ABL1,EFS
ABL1,EGFR
ABL1,EIF2A
ABL1,EPB41L3
ABL1,EPHB2
ABL1,ERBB2
ABL1,ERBB4
ABL1,EWSR1
ABL1,F2RL2
ABL1,FAM110A
ABL1,FLNA
ABL1,FLNC
ABL1,FN1
ABL1,FOXF2
ABL1,FUS
ABL1,FYB1
ABL1,G3BP2
ABL1,GABBR1
ABL1,GAD1
ABL1,GJA8
ABL1,GNS
ABL1,GPR45
ABL1,GPX1
ABL1,GRB2
ABL1,GRIP2
ABL1,GSTZ1
ABL1,GSX2
ABL1,GTF3A
ABL1,HCK
ABL1,HCN4
ABL1,HEXA
ABL1,HNRNPM
ABL1,HNRNPR
ABL1,HSPA4
ABL1,HSPE1
ABL1,ILF3
ABL1,INPPL1
ABL1,JUN
ABL1,KIFC2
ABL1,KIT
ABL1,KMT2B
ABL1,LRBA
ABL1,LRP2
ABL1,LRRC59
ABL1,LRRK1
ABL1,LTBP2
ABL1,MAP4K1
ABL1,MAPT
ABL1,MDM2
ABL1,MED14
ABL1,MEPE
ABL1,MIA2
ABL1,MKI67
ABL1,MSH5
ABL1,NBEA
ABL1,NCK1
ABL1,NCKAP5
ABL1,NCKIPSD
ABL1,NEDD9
ABL1,NEK8
ABL1,NELFB
ABL1,NFASC
ABL1,NFS1
ABL1,NKX2-1
ABL1,NOTCH3
ABL1,NPVF
ABL1,NTRK1
ABL1,NXPH3
ABL1,OGN
ABL1,OSBPL5
ABL1,PAX3
ABL1,PCDHA7
ABL1,PDIA2
ABL1,PIK3R1
ABL1,PIK3R2
ABL1,PKD1
ABL1,PLCG1
ABL1,PPP3CA
ABL1,PRDX1
ABL1,PRKN
ABL1,PRX
ABL1,PSMA7
ABL1,PSTPIP1
ABL1,PTPN4
ABL1,RAPGEF1
ABL1,RB1
ABL1,REPS1
ABL1,RGS20
ABL1,RIMS1
ABL1,RIN1
ABL1,RIN3
ABL1,RPL37
ABL1,RPLP1
ABL1,RPP38
ABL1,RPS21
ABL1,RTL8C
ABL1,RTN4
ABL1,RYBP
